date,Tori Spelling,Eric Roberts,Reginald VelJohnson,Chandler Kinney,Dancing with the Stars,Dwight Howard ,Danny Amendola,Stephen Nedoroscik,Ilona Maher,Anna Delvey,Brooks Nader,Phaedra Parks,Jenn Tran,Joey Graziadei
2024-11-13,0,0,0,6,60,0.0,6.0,3.0,8.0,1.0,1.0,0.0,2.0,2.0
2024-11-14,0,0,0,1,13,0.0,1.0,1.0,2.0,1.0,1.0,0.0,4.0,1.0
2024-11-15,0,0,0,1,8,0.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0
2024-11-16,1,0,0,1,8,0.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0
2024-11-17,0,0,0,1,8,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
2024-11-18,0,1,0,1,6,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
2024-11-19,0,0,0,1,11,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
2024-11-20,0,0,0,7,75,0.0,14.0,4.0,13.0,1.0,0.0,0.0,2.0,3.0
2024-11-21,0,1,0,1,15,0.0,3.0,1.0,4.0,1.0,0.0,0.0,2.0,1.0
2024-11-22,0,1,0,1,9,0.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0
2024-11-23,0,1,0,1,14,0.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0
2024-11-24,0,1,0,1,9,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0
2024-11-25,0,0,0,1,10,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
2024-11-26,0,1,0,1,30,0.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0
