date,Martin Kove,Brian Austin Green,Melora Hardin,Matt James,Dancing with the Stars,"Mike ""The Miz"" Mizanin",Suni Lee,Iman Shumpert,Cody Rigsby,Melanie C,Jimmie Allen,Olivia Jade,JoJo Siwa,Christine Chiu,Kenya Moore,Amanda Kloots
2021-11-09,0,0,6,1,51,0.0,5.0,5.0,4.0,0.0,6.0,8.0,15.0,0.0,1.0,6.0
2021-11-10,0,1,1,1,13,0.0,1.0,2.0,1.0,0.0,2.0,3.0,8.0,0.0,0.0,2.0
2021-11-11,0,0,1,1,8,0.0,2.0,2.0,0.0,0.0,22.0,1.0,6.0,0.0,0.0,1.0
2021-11-12,0,0,1,1,5,0.0,8.0,1.0,1.0,0.0,5.0,1.0,5.0,0.0,0.0,1.0
2021-11-13,0,0,1,1,5,0.0,2.0,1.0,0.0,0.0,3.0,1.0,7.0,0.0,1.0,0.0
2021-11-14,0,1,1,1,5,0.0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,0.0,1.0,0.0
2021-11-15,0,0,0,1,6,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,1.0
2021-11-16,0,0,6,1,52,0.0,6.0,8.0,6.0,0.0,1.0,1.0,18.0,0.0,1.0,19.0
2021-11-17,0,0,1,1,14,0.0,1.0,4.0,1.0,0.0,1.0,1.0,9.0,0.0,1.0,5.0
2021-11-18,0,0,1,1,8,0.0,1.0,2.0,1.0,0.0,1.0,1.0,7.0,0.0,1.0,2.0
2021-11-19,0,0,0,1,6,0.0,0.0,2.0,1.0,0.0,1.0,0.0,6.0,0.0,1.0,1.0
2021-11-20,0,0,1,1,6,0.0,0.0,2.0,1.0,0.0,1.0,1.0,7.0,0.0,1.0,2.0
2021-11-21,0,0,0,1,6,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0,0.0,1.0,1.0
2021-11-22,0,1,0,1,13,0.0,0.0,2.0,1.0,0.0,1.0,1.0,25.0,0.0,1.0,2.0
