date,Calvin Johnson Jr.,Laurie Hernandez,Amber Rose,Rick Perry,Dancing with the Stars,Jake T. Austin,Maureen McCormick,Marilu Henner,Ryan Lochte,James Hinchcliffe,Babyface,Vanilla Ice,Jana Kramer,Terra Jole
2016-11-08,0,2,1,0,15,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0
2016-11-09,0,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-11-10,0,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-11-11,0,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2016-11-12,0,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2016-11-13,0,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2016-11-14,0,0,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-11-15,0,4,1,0,18,0.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,2.0
2016-11-16,0,2,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2016-11-17,0,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-11-18,0,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2016-11-19,0,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2016-11-20,0,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2016-11-21,0,0,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2016-11-22,0,3,1,0,26,0.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0
