date,Mischa Barton,Kim Fields,Jodie Sweetin,Doug Flutie,Dancing with the Stars,Von Miller,Antonio Brown,Paige VanZant,Geraldo Rivera,Nyle DiMarco,Ginger Zee,Wanya Morris,Marla Maples
2016-03-21,2,10,5,1,25,2.0,1.0,2.0,1.0,0.9463850528025995,1.892770105605199,0.0,1.892770105605199
2016-03-22,17,18,17,18,100,11.0,10.0,9.0,13.0,13.249390739236393,12.303005686433794,4.731925264012998,28.391551584077988
2016-03-23,3,5,5,2,23,3.0,3.0,2.0,3.0,4.731925264012998,3.785540211210398,0.9463850528025995,4.731925264012998
2016-03-24,1,3,4,1,11,2.0,2.0,1.0,1.0,1.892770105605199,1.892770105605199,0.0,2.8391551584077988
2016-03-25,1,2,3,1,10,2.0,2.0,1.0,2.0,1.892770105605199,1.892770105605199,0.0,2.8391551584077988
2016-03-26,1,3,4,1,9,2.0,2.0,3.0,1.0,1.892770105605199,0.9463850528025995,0.0,2.8391551584077988
2016-03-27,1,4,4,1,9,2.0,2.0,2.0,1.0,1.892770105605199,0.9463850528025995,0.0,2.8391551584077988
2016-03-28,3,5,4,1,13,1.0,1.0,1.0,1.0,2.8391551584077988,0.9463850528025995,0.0,1.892770105605199
2016-03-29,22,10,8,15,77,5.0,7.0,13.0,13.0,6.6246953696181965,6.6246953696181965,2.8391551584077988,17.98131600324939
2016-03-30,4,2,4,2,16,3.0,3.0,2.0,2.0,1.892770105605199,1.892770105605199,0.0,2.8391551584077988
2016-03-31,2,2,4,1,9,2.0,2.0,1.0,1.0,1.892770105605199,0.9463850528025995,0.0,1.892770105605199
2016-04-01,1,1,3,1,8,1.0,1.0,1.0,1.0,0.9463850528025995,0.9463850528025995,0.0,1.892770105605199
2016-04-02,1,1,3,1,7,1.0,2.0,1.0,1.0,0.9463850528025995,0.9463850528025995,0.0,1.892770105605199
2016-04-03,2,2,3,1,6,1.0,2.0,1.0,1.0,0.9463850528025995,0.0,0.0,1.892770105605199
2016-04-04,1,7,2,1,8,2.0,1.0,1.0,1.0,0.9463850528025995,0.9463850528025995,0.0,1.892770105605199
2016-04-05,13,6,14,11,55,7.0,13.0,7.0,1.0,5.6783103168155975,5.6783103168155975,0.9463850528025995,14.195775792038994
2016-04-06,4,2,5,1,13,2.0,3.0,2.0,1.0,1.892770105605199,1.892770105605199,0.0,3.785540211210398
2016-04-07,2,1,3,1,7,1.0,2.0,1.0,0.0,0.9463850528025995,0.9463850528025995,0.0,1.892770105605199
2016-04-08,1,1,2,1,6,1.0,2.0,1.0,1.0,0.9463850528025995,0.9463850528025995,0.0,0.9463850528025995
2016-04-09,1,2,3,0,6,2.0,2.0,2.0,0.0,0.9463850528025995,0.9463850528025995,0.0,0.9463850528025995
2016-04-10,1,2,2,1,6,3.0,2.0,1.0,0.0,0.9463850528025995,0.9463850528025995,0.0,0.9463850528025995
2016-04-11,1,3,2,1,9,5.0,2.0,2.0,0.0,0.9463850528025995,0.9463850528025995,0.0,0.9463850528025995
2016-04-12,2,5,7,6,65,7.0,4.0,7.0,0.0,7.571080422420796,4.731925264012998,1.892770105605199,15.142160844841593
2016-04-13,1,1,2,1,15,2.0,2.0,3.0,0.0,3.785540211210398,0.9463850528025995,0.0,4.731925264012998
2016-04-14,1,1,2,1,8,3.0,1.0,1.0,0.0,1.892770105605199,0.9463850528025995,0.0,1.892770105605199
2016-04-15,1,1,2,0,6,3.0,1.0,1.0,1.0,1.892770105605199,0.9463850528025995,0.0,1.892770105605199
2016-04-16,1,1,2,1,6,2.0,1.0,1.0,1.0,0.9463850528025995,0.9463850528025995,0.0,0.9463850528025995
2016-04-17,1,1,2,0,7,2.0,1.0,2.0,0.0,0.9463850528025995,0.0,0.0,0.9463850528025995
2016-04-18,1,1,2,0,7,2.0,1.0,1.0,0.0,0.9463850528025995,0.9463850528025995,0.0,0.9463850528025995
2016-04-19,1,4,6,6,63,5.0,5.0,8.0,2.0,11.356620633631195,7.571080422420796,0.9463850528025995,1.892770105605199
2016-04-20,1,1,2,1,16,3.0,2.0,1.0,1.0,2.8391551584077988,0.9463850528025995,0.0,3.785540211210398
2016-04-21,1,1,2,1,8,2.0,1.0,1.0,2.0,1.892770105605199,0.9463850528025995,0.0,0.9463850528025995
