date,Antonio Sabato Jr.,Jonathan Bennett,Lea Thompson,Janel Parrish,Dancing with the Stars,Alfonso Ribeiro,Lolo Jones,Randy Couture,Tommy Chong,Betsey Johnson,Michael Waltrip,Tavis Smiley,Bethany Mota,Sadie Robertson
2014-11-11,0,0,11,4,39,2.0,0.0,0.0,6.0,1.0,0.0,0.0,7.0,8.0
2014-11-12,0,0,2,1,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0
2014-11-13,0,0,1,0,5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0
2014-11-14,0,0,0,0,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
2014-11-15,0,0,0,0,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0
2014-11-16,0,0,0,0,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
2014-11-17,0,0,0,1,6,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
2014-11-18,0,0,0,5,42,8.0,0.0,0.0,15.0,1.0,0.0,0.0,8.0,7.0
2014-11-19,0,0,0,1,9,2.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0
2014-11-20,0,0,0,1,5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0
2014-11-21,0,0,0,0,4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
2014-11-22,0,0,0,1,5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0
2014-11-23,0,0,0,1,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0
2014-11-24,0,0,0,1,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
2014-11-25,0,0,0,7,100,6.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,11.0
