date,Charo,Mr. T,Heather Morris,Nancy Kerrigan,Dancing with the Stars,Bonner Bolton,Simone Biles,David Ross,Rashad Jennings,Chris Kattan,Erika Jayne,Normani,Nick Viall
2017-03-20,5,1,2,2,20,0.982897384305835,1.96579476861167,0.982897384305835,0.982897384305835,0.982897384305835,1.96579476861167,0.982897384305835,2.9486921529175047
2017-03-21,100,11,10,22,98,18.675050301810863,8.846076458752515,16.709255533199194,8.846076458752515,18.675050301810863,15.72635814889336,4.914486921529175,7.86317907444668
2017-03-22,14,2,2,4,23,6.880281690140845,2.9486921529175047,2.9486921529175047,1.96579476861167,2.9486921529175047,10.811871227364184,0.982897384305835,4.914486921529175
2017-03-23,6,1,1,8,12,4.914486921529175,0.982897384305835,0.982897384305835,0.982897384305835,0.982897384305835,3.93158953722334,0.0,2.9486921529175047
2017-03-24,4,1,1,3,8,2.9486921529175047,0.982897384305835,0.982897384305835,0.0,0.982897384305835,2.9486921529175047,0.0,1.96579476861167
2017-03-25,4,1,1,5,7,1.96579476861167,0.982897384305835,0.982897384305835,0.0,0.982897384305835,1.96579476861167,0.0,1.96579476861167
2017-03-26,3,1,1,2,6,1.96579476861167,0.982897384305835,0.982897384305835,0.0,0.982897384305835,0.982897384305835,0.982897384305835,1.96579476861167
2017-03-27,2,0,1,1,9,1.96579476861167,0.982897384305835,0.982897384305835,0.0,0.982897384305835,0.982897384305835,0.0,1.96579476861167
2017-03-28,44,5,8,14,73,10.811871227364184,4.914486921529175,6.880281690140845,6.880281690140845,31.45271629778672,7.86317907444668,4.914486921529175,2.9486921529175047
2017-03-29,7,1,1,2,15,1.96579476861167,1.96579476861167,1.96579476861167,0.982897384305835,5.8973843058350095,3.93158953722334,0.982897384305835,1.96579476861167
2017-03-30,4,0,1,1,8,0.982897384305835,0.982897384305835,0.982897384305835,0.982897384305835,1.96579476861167,1.96579476861167,0.0,1.96579476861167
2017-03-31,3,1,1,1,6,0.982897384305835,0.982897384305835,0.982897384305835,0.0,0.982897384305835,0.982897384305835,0.0,0.982897384305835
2017-04-01,2,1,1,1,5,0.982897384305835,0.982897384305835,0.982897384305835,0.0,0.982897384305835,0.982897384305835,0.0,0.982897384305835
2017-04-02,2,0,0,1,5,0.982897384305835,0.982897384305835,0.982897384305835,0.982897384305835,0.982897384305835,0.982897384305835,0.0,0.982897384305835
2017-04-03,2,0,0,1,6,0.982897384305835,0.982897384305835,0.982897384305835,0.0,0.982897384305835,0.982897384305835,0.0,0.982897384305835
2017-04-04,36,4,3,11,50,4.914486921529175,2.9486921529175047,9.82897384305835,2.9486921529175047,0.982897384305835,4.914486921529175,7.86317907444668,2.9486921529175047
2017-04-05,5,1,1,2,11,0.982897384305835,0.982897384305835,2.9486921529175047,0.982897384305835,0.0,1.96579476861167,0.982897384305835,0.982897384305835
2017-04-06,2,0,0,1,6,0.982897384305835,0.982897384305835,0.982897384305835,0.0,0.0,0.982897384305835,0.982897384305835,0.982897384305835
2017-04-07,2,0,0,1,4,0.982897384305835,0.982897384305835,0.982897384305835,0.0,0.0,0.982897384305835,0.0,0.982897384305835
2017-04-08,1,0,0,1,5,0.982897384305835,0.982897384305835,0.982897384305835,0.0,0.0,0.982897384305835,0.0,0.982897384305835
2017-04-09,2,0,0,1,5,0.982897384305835,0.982897384305835,0.982897384305835,0.0,0.982897384305835,0.982897384305835,0.0,0.982897384305835
2017-04-10,1,0,0,1,6,0.982897384305835,0.982897384305835,0.982897384305835,0.0,0.0,1.96579476861167,0.0,0.982897384305835
2017-04-11,2,4,4,14,52,5.8973843058350095,10.811871227364184,8.846076458752515,16.709255533199194,0.0,8.846076458752515,2.9486921529175047,3.93158953722334
2017-04-12,1,1,1,3,12,1.96579476861167,2.9486921529175047,1.96579476861167,2.9486921529175047,0.0,5.8973843058350095,0.0,1.96579476861167
2017-04-13,1,0,1,2,6,0.982897384305835,1.96579476861167,2.9486921529175047,0.982897384305835,0.0,1.96579476861167,0.0,0.982897384305835
2017-04-14,1,0,1,1,5,0.982897384305835,1.96579476861167,0.982897384305835,0.982897384305835,0.0,1.96579476861167,0.0,0.982897384305835
2017-04-15,1,0,0,1,5,0.982897384305835,1.96579476861167,0.982897384305835,0.982897384305835,0.0,0.982897384305835,0.0,0.982897384305835
2017-04-16,1,0,1,1,5,0.982897384305835,1.96579476861167,0.982897384305835,0.982897384305835,0.0,0.982897384305835,0.0,0.982897384305835
2017-04-17,1,0,0,1,6,0.0,1.96579476861167,0.982897384305835,0.982897384305835,0.0,0.982897384305835,0.0,0.982897384305835
2017-04-18,1,0,3,9,47,2.9486921529175047,5.8973843058350095,4.914486921529175,3.93158953722334,0.0,10.811871227364184,4.914486921529175,2.9486921529175047
2017-04-19,0,0,1,1,13,0.982897384305835,2.9486921529175047,1.96579476861167,0.982897384305835,0.0,4.914486921529175,0.982897384305835,0.982897384305835
2017-04-20,0,0,0,1,7,0.982897384305835,1.96579476861167,0.982897384305835,0.982897384305835,0.0,1.96579476861167,0.982897384305835,0.982897384305835
2017-04-21,1,0,0,1,5,0.982897384305835,1.96579476861167,0.982897384305835,0.0,0.0,1.96579476861167,0.982897384305835,0.982897384305835
2017-04-22,1,0,0,1,5,0.982897384305835,0.982897384305835,0.982897384305835,0.0,0.0,0.982897384305835,0.0,0.982897384305835
2017-04-23,1,0,0,1,4,0.0,0.982897384305835,0.982897384305835,0.0,0.0,0.982897384305835,0.0,0.982897384305835
2017-04-24,0,0,0,1,5,0.0,0.982897384305835,0.982897384305835,0.0,0.0,0.982897384305835,0.0,0.982897384305835
