date,Valerie Harper,Brant Daugherty,Elizabeth Berkley Lauren,Leah Remini,Dancing with the Stars,Corbin Bleu,Amber Riley,Keyshawn Johnson,Bill Engvall,Christina Milian,"Nicole ""Snooki"" Polizzi",Jack Osbourne,Bill Nye
2013-11-17,0,0,0,1,4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
2013-11-18,0,0,0,1,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
2013-11-19,0,0,0,9,46,5.0,4.0,0.0,5.0,1.0,0.0,5.0,3.0
2013-11-20,0,0,0,2,12,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
2013-11-21,0,0,0,1,6,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
2013-11-22,0,0,0,1,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
2013-11-23,0,0,0,1,5,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
2013-11-24,0,0,0,1,5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2013-11-25,0,0,0,1,8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
2013-11-26,0,0,0,1,56,7.0,6.0,0.0,7.0,1.0,0.0,5.0,3.0
