date,Gilles Marini,Denise Richards,David Alan Grier,Lawrence Taylor,Dancing with the Stars,Ty Murray,Shawn Johnson,Steve Wozniak,Belinda Carlisle,Chuck Wicks,Lil' Kim,Steve-O,Holly Madison,Melissa Rycroft
2009-05-06,1,1,0,0,55,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0
2009-05-07,0,1,0,0,18,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
2009-05-08,0,1,0,0,8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2009-05-09,0,2,0,0,6,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0
2009-05-10,0,2,0,0,6,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
2009-05-11,0,1,0,0,8,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2009-05-12,3,1,0,0,35,2.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0
2009-05-13,2,1,0,0,51,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
2009-05-14,1,1,0,0,17,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2009-05-15,0,1,0,0,8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
2009-05-16,1,1,0,0,5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0
2009-05-17,0,1,0,0,5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0
2009-05-18,1,1,0,0,10,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0
2009-05-19,3,0,0,0,54,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
