date,Cristian de la Fuente,Steve Guttenberg,Priscilla Presley,Marlee Matlin,Dancing with the Stars,Shannon Elizabeth,Marissa Jaret Winokur,Jason Taylor,Kristi Yamaguchi,Monica Seles,Penn Jillette,Adam Carolla,Mario
2008-05-08,0,0,0,0,25,2.0,0.0,1.0,1.0,0.0,0.0,1.1581267217630853,68.32947658402203
2008-05-09,0,0,0,0,12,2.0,0.0,1.0,1.0,0.0,0.0,1.1581267217630853,74.12011019283746
2008-05-10,0,0,0,0,10,2.0,0.0,1.0,1.0,0.0,0.0,0.0,97.28264462809916
2008-05-11,0,0,0,0,9,2.0,0.0,1.0,0.0,0.0,0.0,0.0,101.9151515151515
2008-05-12,0,0,0,0,12,2.0,1.0,1.0,1.0,0.0,0.0,1.1581267217630853,67.17134986225895
2008-05-13,1,0,0,0,61,1.0,2.0,4.0,2.0,0.0,0.0,1.1581267217630853,62.538842975206606
2008-05-14,1,0,0,0,81,3.0,6.0,3.0,2.0,0.0,0.0,1.1581267217630853,62.538842975206606
2008-05-15,1,0,0,0,21,2.0,1.0,1.0,1.0,0.0,0.0,1.1581267217630853,62.538842975206606
2008-05-16,0,0,0,0,10,1.0,0.0,1.0,0.0,0.0,0.0,0.0,66.01322314049587
2008-05-17,0,0,0,0,9,3.0,0.0,0.0,1.0,0.0,0.0,0.0,91.49201101928374
2008-05-18,0,0,0,0,9,5.0,0.0,0.0,0.0,0.0,1.1581267217630853,0.0,94.966391184573
2008-05-19,1,0,0,0,15,2.0,0.0,3.0,1.0,0.0,0.0,1.1581267217630853,62.538842975206606
2008-05-20,2,0,0,0,88,2.0,0.0,9.0,7.0,0.0,0.0,1.1581267217630853,64.85509641873277
